category,bedrooms,bathrooms,floor_area,condition,amenities,parking_space,lat,lng,amenities_count,furnishing,price,log1p_price
Flats,2.0,2.0,145.0,Used,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Refrigerator,Wardrobe,Wi-Fi",0,5.6358281,-0.1613592,14,Semi-Furnished,9196,9.126632622902697
Flats,2.0,2.0,100.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wi-Fi",0,5.6141232,-0.1956471,11,Unfurnished,7500,8.922791623969637
Detached,4.0,5.0,100.0,New,"Tiled Floor,Chandelier,Dining Area,Balcony,Pop Ceiling,Kitchen Cabinets,Kitchen Shelf,24-hour Electricity,Apartment,Microwave,Pre-Paid Meter,Hot Water,Dishwasher,Refrigerator,Air Conditioning,Wardrobe",0,5.6802129,-0.1372479,16,Semi-Furnished,11200,9.32375833901174
Detached,3.0,3.0,17.0,Used,"Pop Ceiling,Pre-Paid Meter,24-hour Electricity,Dishwasher,Tiled Floor,Kitchen Cabinets",0,5.5831665,-0.1046082,6,Semi-Furnished,2500,7.824445930877619
Detached,3.0,3.0,160.0,Used,"Pre-Paid Meter,Dining Area,Chandelier,Balcony,Tiled Floor,Kitchen Shelf,Microwave,24-hour Electricity,Pop Ceiling,Air Conditioning,Wardrobe,Wi-Fi,Dishwasher,Kitchen Cabinets",0,5.6376136,-0.1266064,14,Semi-Furnished,9146,9.121181235656364
Flats,2.0,2.0,112.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Hot Water,Kitchen Cabinets",0,5.6376136,-0.1266064,7,Unfurnished,4010,8.296795865770052
Flats,2.0,2.0,3000.0,Used,"24-hour Electricity,Apartment,Balcony,Kitchen Cabinets,Pop Ceiling,Tiled Floor",0,5.6944159,-0.2021951,6,Unfurnished,2500,7.824445930877619
Flats,1.0,1.0,10.0,Used,"Apartment,Kitchen Cabinets,Pop Ceiling,Tiled Floor",0,5.7141674,-0.15418,4,Unfurnished,2000,7.601402334583733
Flats,2.0,3.0,15.0,New,"24-hour Electricity,Apartment,Tiled Floor,Pre-Paid Meter,Dishwasher,Kitchen Cabinets,Pop Ceiling",0,5.5831665,-0.1046082,7,Unfurnished,1800,7.496097345175956
Flats,3.0,4.0,990.0,New,"24-hour Electricity,Apartment,Balcony,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6376136,-0.1266064,13,Semi-Furnished,6000,8.699681400989514
Flats,2.0,2.0,350.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.6510376,-0.1354586,17,Furnished,54000,10.896757843893464
Flats,1.0,1.0,15.0,Used,"Apartment,Kitchen Cabinets,Kitchen Shelf,Dishwasher",0,5.5831665,-0.1046082,4,Unfurnished,1000,6.90875477931522
Flats,2.0,2.0,700.0,New,"Apartment,Tiled Floor,Kitchen Cabinets,Dining Area,Pop Ceiling,Pre-Paid Meter,24-hour Electricity",0,5.6806047,-0.2004374,7,Unfurnished,2500,7.824445930877619
Flats,2.0,2.0,100.0,New,"24-hour Electricity,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Tiled Floor",0,5.6983973,-0.0279867,9,Unfurnished,1800,7.496097345175956
