bhk,type,locality,area,region,status,age,price_cr,price_per_sqft,area_scaled,price_per_sqft_scaled
2,0,Rustomjee Urbania Aurelia 1,684,Thane West,0,0,1.18,17251.461988304094,-0.5645293232250744,0.4813290629752191
2,0,Swastik Pushkar Accord,800,Kandivali East,0,1,1.25,15625.0,-0.23450775151386047,0.2535101882895355
2,0,Runwal Runwal Forests Tower 9 To 11,626,Kanjurmarg,1,0,1.77,28274.760383386583,-0.7295401090806815,2.025364800515409
2,0,Runwal My City,741,Dombivali,0,2,0.49,6612.685560053981,-0.4023635509187021,-1.0088466013473851
2,0,Ekta Meadows,800,Borivali East,0,1,2.0,25000.0,-0.23450775151386047,1.566668421028363
2,0,Raunak Laxmi Narayan Residency,1065,Thane West,0,2,1.35,12676.05633802817,0.5194208390333094,-0.15954897412126945
2,0,Kalpataru Paramount,794,Thane West,1,0,1.08,13602.015113350126,-0.2515778328092681,-0.029849732628918543
2,0,Gami Trixie,1150,Ulwe,0,1,0.92,8000.0,0.7612469907182506,-0.8145251743380444
2,0,Lodha Fiorenza,1404,Goregaon East,0,0,3.0,21367.521367521367,1.48388043222384,1.0578663707363956
2,0,Amrut Sai AmrutParadise,900,Panvel,0,1,0.7,7777.777777777777,0.04999360340959985,-0.8456518880029648
2,0,Sunteck City First Impression,645,Goregaon West,1,0,1.92,29767.441860465115,-0.675484851645224,2.2344450107002007
2,0,Lodha Sterling,868,Thane West,1,0,1.67,19239.63133640553,-0.041046830165907454,0.7598123640459807
2,0,Ms Shri Venkatesh Silver Spring,1165,Bhayandar West,1,0,1.3,11158.798283261802,0.8039221939567697,-0.37207163074054994
2,0,JK IRIS,1013,Mira Road East,1,0,0.82,8094.768015794669,0.37148013447311,-0.8012509983229945
2,0,Hiranandani Atlanta Apartment,1250,Thane West,1,0,3.35,26800.0,1.045748345641711,1.818794801714218
2,0,Panvelkar Vrindavan,575,Badlapur East,0,2,0.237,4121.739130434783,-0.8746358000916462,-1.3577539945597412
2,0,Mahaavir Mannat,1080,Ulwe,0,0,1.05,9722.222222222223,0.5620960422718284,-0.5732931434349116
2,0,Shree Ramdev Heights,1070,Mira Road East,1,0,0.97,9065.420560747663,0.5336459067794824,-0.665291491066043
2,0,Raheja Exotica Siena,624,Malad West,1,0,1.39,22275.641025641024,-0.7352301361791507,1.1850668833093874
2,0,Westin Ellora Heights,900,Mira Road East,0,1,0.84,9333.333333333334,0.04999360340959985,-0.6277648923485221
2,0,Piramal Vaikunth Cluster 4,1350,Thane West,1,2,1.5,11111.111111111111,1.3302497005651714,-0.3787511830291593
2,0,JP Codename Dream Home Tower B,1000,Mira Road East,1,0,0.9244,9244.0,0.3344949583330602,-0.6402778312418201
2,0,Raj Akshay,1062,Mira Road East,0,0,0.87,8192.090395480225,0.5108857983856055,-0.78761903201752
2,0,Runwal Codename Enchanted,627,Thane West,1,0,1.14,18181.81818181818,-0.7266950955314468,0.6116442517637609
2,0,Saivijay Kamalja,1200,Ulwe,0,0,0.92,7666.666666666667,0.9034976681799809,-0.8612152448354249
2,0,Tharwani Majestic Towers Phase I,725,Kalyan West,1,0,0.9,12413.793103448275,-0.4478837677064557,-0.19628424085548832
2,0,Marathon Marathon Nexzone,664,Panvel,1,2,0.76,11445.783132530121,-0.6214295942097665,-0.33187360220849604
2,0,Puraniks Tokyo Bay Phase 1,678,Thane West,1,0,0.6598999999999999,9733.038348082595,-0.5815994045204821,-0.5717781263981235
2,0,Lodha Luxuria,1200,Thane West,0,0,1.4,11666.666666666666,0.9034976681799809,-0.3009343988668585
2,0,A H A H Sapphire,939,Mira Road East,0,0,0.8432999999999999,8980.830670926518,0.16094913182974938,-0.6771400148233878
